SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,AVAILABLE_FLAG,game_phase,comparable_name,season,possessions_estimate,net_rating_estimate,game_number,rolling_net_rating
2020-21,1610612751,BKN,Brooklyn Nets,22000666,2021-03-23,BKN @ POR,W,48.0,43,87,0.494,9,30,0.3,21,27,0.778,10,37,47,25,11.0,5,2,5,17,20,116,4.0,1,1,1,1,5,34,35,31,64,59,62,20,17,44,23,28,25,42,17,50,65,41,17,27,39,39,1.0,regular,Brooklyn Nets 2020-21,2020-21,99.88,4.004805766920304,44,4.555903318607435
2020-21,1610612751,BKN,Brooklyn Nets,22000676,2021-03-24,BKN @ UTA,L,48.0,35,97,0.361,7,35,0.2,11,15,0.733,13,35,48,19,9.0,9,1,6,10,15,88,-30.0,1,49,49,49,5,66,7,72,68,40,69,66,64,58,5,35,23,66,10,15,70,50,1,56,72,72,1.0,regular,Brooklyn Nets 2020-21,2020-21,99.6,-30.120481927710845,45,3.2548052063516493
2020-21,1610612751,BKN,Brooklyn Nets,22000683,2021-03-26,BKN @ DET,W,48.0,37,84,0.44,13,33,0.394,26,34,0.765,16,33,49,19,10.0,3,4,4,27,30,113,2.0,1,1,1,1,5,63,49,59,43,47,39,7,3,48,1,45,20,66,13,61,46,29,71,1,46,46,1.0,regular,Brooklyn Nets 2020-21,2020-21,92.96000000000001,2.1514629948364887,46,2.364201606358016
2020-21,1610612751,BKN,Brooklyn Nets,22000709,2021-03-29,BKN vs. MIN,W,48.0,40,85,0.471,10,30,0.333,22,25,0.88,7,43,50,31,16.0,10,7,10,18,25,112,5.0,1,1,1,1,5,53,44,51,60,59,53,15,25,16,50,6,14,14,47,9,14,69,26,4,50,34,1.0,regular,Brooklyn Nets 2020-21,2020-21,105.0,4.761904761904762,47,1.0504159488969405
2020-21,1610612751,BKN,Brooklyn Nets,22000724,2021-03-31,BKN vs. HOU,W,48.0,44,90,0.489,13,36,0.361,19,19,1.0,12,33,45,25,12.0,6,3,8,21,21,120,12.0,1,1,1,1,5,25,25,34,43,36,48,28,47,1,12,45,32,42,26,33,57,64,51,20,34,18,1.0,regular,Brooklyn Nets 2020-21,2020-21,98.36,12.20008133387556,48,1.0902509902309954
2020-21,1610612751,BKN,Brooklyn Nets,22000732,2021-04-01,BKN vs. CHA,W,48.0,44,91,0.484,20,45,0.444,3,4,0.75,13,43,56,34,15.0,8,5,5,18,9,111,22.0,1,1,1,1,5,25,20,40,3,3,20,72,72,53,5,6,3,7,40,22,31,41,26,72,52,7,1.0,regular,Brooklyn Nets 2020-21,2020-21,94.76,23.21654706627269,49,2.8947356513473004
2020-21,1610612751,BKN,Brooklyn Nets,22000755,2021-04-04,BKN @ CHI,L,48.0,45,93,0.484,11,28,0.393,6,7,0.857,4,31,35,28,5.0,3,3,3,17,11,107,-8.0,1,49,49,49,5,23,12,39,54,66,40,71,71,22,65,57,65,32,1,61,57,14,17,70,61,60,1.0,regular,Brooklyn Nets 2020-21,2020-21,97.08,-8.240626287597857,50,1.558797510712003
2020-21,1610612751,BKN,Brooklyn Nets,22000762,2021-04-05,BKN vs. NYK,W,48.0,42,92,0.457,10,32,0.313,20,26,0.769,11,34,45,27,10.0,6,6,4,14,25,114,2.0,1,1,1,1,5,39,15,54,60,49,60,23,21,47,15,39,32,35,13,33,19,29,7,4,44,46,1.0,regular,Brooklyn Nets 2020-21,2020-21,102.44,1.952362358453729,51,0.9176025197915765
2020-21,1610612751,BKN,Brooklyn Nets,22000779,2021-04-07,BKN vs. NOP,W,48.0,51,92,0.554,19,41,0.463,18,22,0.818,10,35,45,37,17.0,10,8,2,31,14,139,28.0,1,1,1,1,5,5,15,13,7,15,14,33,37,33,23,35,32,1,52,9,8,6,72,63,4,4,1.0,regular,Brooklyn Nets 2020-21,2020-21,108.68,25.76370997423629,52,4.293014667834463
2020-21,1610612751,BKN,Brooklyn Nets,22000800,2021-04-10,BKN vs. LAL,L,48.0,35,80,0.438,5,27,0.185,26,30,0.867,9,33,42,19,19.0,6,10,4,20,24,101,-25.0,1,49,49,49,5,66,61,60,71,69,72,7,10,20,32,45,46,66,64,33,2,29,45,9,67,71,1.0,regular,Brooklyn Nets 2020-21,2020-21,103.2,-24.224806201550386,53,1.1464959839640738
2020-21,1610612751,BKN,Brooklyn Nets,22000817,2021-04-13,BKN @ MIN,W,48.0,46,91,0.505,15,36,0.417,20,24,0.833,11,46,57,31,19.0,8,4,12,22,20,127,30.0,1,1,1,1,5,20,20,28,28,36,28,23,29,30,15,1,1,14,64,22,46,72,54,27,19,3,1.0,regular,Brooklyn Nets 2020-21,2020-21,109.56,27.38225629791895,54,3.4842410370639385
2020-21,1610612751,BKN,Brooklyn Nets,22000830,2021-04-14,BKN @ PHI,L,48.0,43,83,0.518,4,21,0.19,27,30,0.9,11,32,43,23,16.0,6,3,9,21,21,117,-6.0,1,49,49,49,5,34,52,26,72,72,70,4,10,8,15,55,42,51,47,33,57,68,51,20,36,57,1.0,regular,Brooklyn Nets 2020-21,2020-21,101.2,-5.928853754940711,55,5.903403854340952
2020-21,1610612751,BKN,Brooklyn Nets,22000848,2021-04-16,BKN vs. CHA,W,48.0,47,85,0.553,21,41,0.512,15,16,0.938,7,30,37,35,18.0,12,5,3,17,18,130,15.0,1,1,1,1,5,15,44,14,2,15,7,49,60,4,50,63,61,2,61,2,31,14,17,38,11,12,1.0,regular,Brooklyn Nets 2020-21,2020-21,103.04,14.55745341614907,56,7.144002896472211
2020-21,1610612751,BKN,Brooklyn Nets,22000863,2021-04-18,BKN @ MIA,L,48.0,39,82,0.476,17,43,0.395,12,18,0.667,8,30,38,26,11.0,10,6,1,17,13,107,-2.0,1,49,49,49,5,57,56,47,15,8,38,63,51,66,40,63,60,37,17,9,19,1,17,65,61,50,1.0,regular,Brooklyn Nets 2020-21,2020-21,92.92,-2.152389151958674,57,6.4525735050858675
