comparable_name,team_id,season,n_seasons_lookback,half_life_seasons,team_game_score,DiffPointsPG
MIA 2010-11,1610612748,2010-11,2,2.5,99.3734817907599,7.5
MIA 2010-11,1610612748,2010-11,2,4.0,99.45231939453527,7.5
MIA 2010-11,1610612748,2010-11,3,0.5,98.47766540897251,7.5
MIA 2010-11,1610612748,2010-11,3,1.0,98.47983554640491,7.5
MIA 2010-11,1610612748,2010-11,3,1.5,98.40361554263933,7.5
MIA 2010-11,1610612748,2010-11,3,2.5,98.305323098064,7.5
MIA 2010-11,1610612748,2010-11,3,4.0,98.23516422422385,7.5
MIA 2010-11,1610612748,2010-11,4,0.5,98.43982218532338,7.5
MIA 2010-11,1610612748,2010-11,4,1.0,98.27179987101569,7.5
MIA 2010-11,1610612748,2010-11,4,1.5,98.07344435444116,7.5
MIA 2010-11,1610612748,2010-11,4,2.5,97.85273857188339,7.5
MIA 2010-11,1610612748,2010-11,4,4.0,97.707380044121,7.5
MIL 2010-11,1610612749,2010-11,1,0.5,76.1117652652589,-0.8
MIL 2010-11,1610612749,2010-11,1,1.0,76.1117652652589,-0.8
MIL 2010-11,1610612749,2010-11,1,1.5,76.1117652652589,-0.8
MIL 2010-11,1610612749,2010-11,1,2.5,76.1117652652589,-0.8
MIL 2010-11,1610612749,2010-11,1,4.0,76.1117652652589,-0.8
MIL 2010-11,1610612749,2010-11,2,0.5,75.3932942364399,-0.8
MIL 2010-11,1610612749,2010-11,2,1.0,74.91431355056055,-0.8
MIL 2010-11,1610612749,2010-11,2,1.5,74.72336235749847,-0.8
MIL 2010-11,1610612749,2010-11,2,2.5,74.56300782088441,-0.8
MIL 2010-11,1610612749,2010-11,2,4.0,74.47082635204393,-0.8
MIL 2010-11,1610612749,2010-11,3,0.5,75.20423807880454,-0.8
MIL 2010-11,1610612749,2010-11,3,1.0,74.3950280286594,-0.8
MIL 2010-11,1610612749,2010-11,3,1.5,74.03779190359215,-0.8
MIL 2010-11,1610612749,2010-11,3,2.5,73.72836399610324,-0.8
MIL 2010-11,1610612749,2010-11,3,4.0,73.54818758921884,-0.8
MIL 2010-11,1610612749,2010-11,4,0.5,75.10330267335591,-0.8
MIL 2010-11,1610612749,2010-11,4,1.0,73.86742139920378,-0.8
MIL 2010-11,1610612749,2010-11,4,1.5,73.20173309464164,-0.8
MIL 2010-11,1610612749,2010-11,4,2.5,72.57188427027299,-0.8
MIL 2010-11,1610612749,2010-11,4,4.0,72.1858200836158,-0.8
MIN 2010-11,1610612750,2010-11,1,0.5,58.56179815884977,-6.6
MIN 2010-11,1610612750,2010-11,1,1.0,58.56179815884977,-6.6
MIN 2010-11,1610612750,2010-11,1,1.5,58.56179815884977,-6.6
MIN 2010-11,1610612750,2010-11,1,2.5,58.56179815884977,-6.6
MIN 2010-11,1610612750,2010-11,1,4.0,58.56179815884977,-6.6
MIN 2010-11,1610612750,2010-11,2,0.5,55.35100662455277,-6.6
MIN 2010-11,1610612750,2010-11,2,1.0,53.21047893502144,-6.6
MIN 2010-11,1610612750,2010-11,2,1.5,52.35713280197635,-6.6
MIN 2010-11,1610612750,2010-11,2,2.5,51.6405207633631,-6.6
MIN 2010-11,1610612750,2010-11,2,4.0,51.22856889905679,-6.6
MIN 2010-11,1610612750,2010-11,3,0.5,55.241233037141164,-6.6
MIN 2010-11,1610612750,2010-11,3,1.0,53.10448951093991,-6.6
MIN 2010-11,1610612750,2010-11,3,1.5,52.33389313841484,-6.6
MIN 2010-11,1610612750,2010-11,3,2.5,51.7401811724274,-6.6
MIN 2010-11,1610612750,2010-11,3,4.0,51.42436843849921,-6.6
MIN 2010-11,1610612750,2010-11,4,0.5,55.21133403811432,-6.6
MIN 2010-11,1610612750,2010-11,4,1.0,53.03903086337074,-6.6
MIN 2010-11,1610612750,2010-11,4,1.5,52.28542686704098,-6.6
MIN 2010-11,1610612750,2010-11,4,2.5,51.733744937226476,-6.6
MIN 2010-11,1610612750,2010-11,4,4.0,51.45536158576037,-6.6
NOP 2010-11,1610612740,2010-11,1,0.5,85.33483201065852,0.9
NOP 2010-11,1610612740,2010-11,1,1.0,85.33483201065852,0.9
NOP 2010-11,1610612740,2010-11,1,1.5,85.33483201065852,0.9
NOP 2010-11,1610612740,2010-11,1,2.5,85.33483201065852,0.9
NOP 2010-11,1610612740,2010-11,1,4.0,85.33483201065852,0.9
NOP 2010-11,1610612740,2010-11,2,0.5,85.42208901174075,0.9
