comparable_name,team_id,season,x_game_score_vs_baseline,WINS,LOSSES,y_actual_diff_points_pg
ORL 2015-16,1610612753,2015-16,0.19254868627228916,35,47,-1.6
PHI 2015-16,1610612755,2015-16,-28.72610375102063,10,72,-10.2
PHX 2015-16,1610612756,2015-16,-21.09273566692123,23,59,-6.7
POR 2015-16,1610612757,2015-16,-2.2698691062045953,44,38,0.8
SAC 2015-16,1610612758,2015-16,-11.711427242272208,33,49,-2.5
SAS 2015-16,1610612759,2015-16,31.650173154756914,67,15,10.6
TOR 2015-16,1610612761,2015-16,19.06081527304198,56,26,4.5
UTA 2015-16,1610612762,2015-16,-5.355716505364825,40,42,1.8
WAS 2015-16,1610612764,2015-16,12.011948356919305,41,41,-0.5
ATL 2016-17,1610612737,2016-17,-5.751295998638838,43,39,-0.9
BOS 2016-17,1610612738,2016-17,21.55894980134994,53,29,2.6
BKN 2016-17,1610612751,2016-17,-36.624218966840715,20,62,-6.7
CHA 2016-17,1610612766,2016-17,17.293898437887606,36,46,0.2
CHI 2016-17,1610612741,2016-17,-7.793679765245884,41,41,0.4
CLE 2016-17,1610612739,2016-17,33.47988606925412,51,31,3.2
DAL 2016-17,1610612742,2016-17,-19.08244700449933,33,49,-2.9
DEN 2016-17,1610612743,2016-17,4.98855606166282,40,42,0.5
DET 2016-17,1610612765,2016-17,18.605744239564075,37,45,-1.1
GSW 2016-17,1610612744,2016-17,50.876878535945195,67,15,11.6
HOU 2016-17,1610612745,2016-17,4.766058459221398,55,27,5.8
IND 2016-17,1610612754,2016-17,8.388795335505137,42,40,-0.2
LAC 2016-17,1610612746,2016-17,22.303600046910788,51,31,4.3
LAL 2016-17,1610612747,2016-17,-44.8838308856747,26,56,-6.9
MEM 2016-17,1610612763,2016-17,-11.684758386983319,43,39,0.5
MIA 2016-17,1610612748,2016-17,-18.4218137941547,41,41,1.1
MIL 2016-17,1610612749,2016-17,-6.865785025209178,42,40,-0.2
MIN 2016-17,1610612750,2016-17,-4.756909506799445,31,51,-1.1
NOP 2016-17,1610612740,2016-17,-27.13696199044506,34,48,-2.1
NYK 2016-17,1610612752,2016-17,-35.12333207759742,31,51,-3.7
OKC 2016-17,1610612760,2016-17,-15.739023525910042,47,35,0.8
ORL 2016-17,1610612753,2016-17,12.687940349549521,29,53,-6.6
PHI 2016-17,1610612755,2016-17,-19.100644202459975,28,54,-5.7
PHX 2016-17,1610612756,2016-17,-38.59487540883392,24,58,-5.6
POR 2016-17,1610612757,2016-17,16.94446958287081,41,41,-0.5
SAC 2016-17,1610612758,2016-17,-3.0374343857905615,32,50,-3.9
